title,text,subject,date
"Soy Ernesto Pérez, pero no soy ningún frailejón: drama de la vida real","Un hombre que aseguró tener esa identidad afirmó que el popular tema le ha jugado en contra. La canción del Frailejón Ernesto Pérez se ha convertido en todo un éxito viral...","news","February 23, 2024"
"Lista tubería para ron domiciliario en Contratación, Guajira","La polémica promesa de campaña del alcalde de Contratación, Guajira, Ormedis Madera, de dotar a los hogares de su municipio con servicio de ron domiciliario está cerca de hacerse realidad...","news","January 26, 2024"
